,playerid,fname,lname,position,height,weight,birthday,country,school,draft_year,fullname,API_Names
17,1630166,Deni,Avdija,Forward,6-9,210,2001-01-03,Israel,Maccabi Tel Aviv,2020,Deni Avdija,Deni Avdija
18,1629028,Deandre,Ayton,Center,7-0,250,1998-07-23,Bahamas,Arizona,2018,Deandre Ayton,Deandre Ayton
19,1628962,Udoka,Azubuike,Center-Forward,6-11,270,1999-09-17,Nigeria,Kansas,2020,Udoka Azubuike,Udoka Azubuike
21,1628963,Marvin,Bagley III,Forward,6-10,235,1999-03-14,USA,Duke,2018,Marvin Bagley III,Marvin Bagley III
22,1631116,Patrick,Baldwin,Forward,6-9,220,2002-11-18,USA,Wisconsin-Milwaukee,2022,Patrick Baldwin,Patrick Baldwin Jr.
23,1630163,LaMelo,Ball,Guard,6-7,180,2001-08-22,USA,Illawarra,2020,LaMelo Ball,LaMelo Ball
24,1628964,Mo,Bamba,Center,7-0,231,1998-05-12,USA,Texas,2018,Mo Bamba,Mo Bamba
25,1631094,Paolo,Banchero,Forward,6-10,250,2002-11-12,USA,Duke,2022,Paolo Banchero,Paolo Banchero
26,1630217,Desmond,Bane,Guard,6-5,215,1998-06-25,USA,TCU,2020,Desmond Bane,Desmond Bane
27,1630625,Dalano,Banton,Forward,6-7,204,1999-11-07,Canada,Nebraska,2021,Dalano Banton,Dalano Banton
29,203084,Harrison,Barnes,Forward,6-8,225,1992-05-30,USA,North Carolina,2012,Harrison Barnes,Harrison Barnes
30,1630567,Scottie,Barnes,Forward,6-8,225,2001-08-01,USA,Florida State,2021,Scottie Barnes,Scottie Barnes
31,1629628,RJ,Barrett,Forward-Guard,6-6,214,2000-06-14,Canada,Duke,2019,RJ Barrett,RJ Barrett
33,1629646,Charles,Bassey,Center-Forward,6-9,230,2000-10-28,Nigeria,Western Kentucky,2021,Charles Bassey,Charles Bassey
34,1628966,Keita,Bates-Diop,Forward,6-8,229,1996-01-23,USA,Ohio State,2018,Keita Bates-Diop,Keita Bates-Diop
35,201587,Nicolas,Batum,Guard-Forward,6-8,230,1988-12-14,France,Le Mans,2008,Nicolas Batum,Nicolas Batum
36,1629647,Darius,Bazley,Forward,6-9,216,2000-06-12,USA,Princeton HS (OH),2019,Darius Bazley,Amari Bailey
37,203078,Bradley,Beal,Guard,6-4,207,1993-06-28,USA,Florida,2012,Bradley Beal,Bradley Beal
38,1627736,Malik,Beasley,Guard,6-4,187,1996-11-26,USA,Florida State,2016,Malik Beasley,Malik Beasley
39,1630699,MarJon,Beauchamp,Forward,6-7,199,2000-10-12,USA,NBA G League Ignite,2022,MarJon Beauchamp,MarJon Beauchamp
40,202722,Davis,Bertans,Forward,6-10,225,1992-11-12,Latvia,Baskonia,2011,Davis Bertans,Dāvis Bertāns
41,201976,Patrick,Beverley,Guard,6-2,180,1988-07-12,USA,Arkansas,2009,Patrick Beverley,Patrick Beverley
42,1630180,Saddiq,Bey,Forward,6-7,215,1999-04-09,USA,Villanova,2020,Saddiq Bey,Saddiq Bey
44,1629048,Goga,Bitadze,Center-Forward,6-11,250,1999-07-20,Georgia,Mega Basket,2019,Goga Bitadze,Goga Bitadze
45,202687,Bismack,Biyombo,Center,6-8,255,1992-08-28,DRC,Baloncesto Fuenlabrada,2011,Bismack Biyombo,Bismack Biyombo
47,203992,Bogdan,Bogdanovic,Guard,6-5,225,1992-08-18,Serbia,Fenerbahce,2014,Bogdan Bogdanovic,Bogdan Bogdanović
48,202711,Bojan,Bogdanovic,Forward,6-7,226,1989-04-18,Croatia,Fenerbahce,2011,Bojan Bogdanovic,Bogdan Bogdanović
49,1629626,Bol,Bol,Center-Forward,7-2,220,1999-11-16,Sudan,Oregon,2019,Bol Bol,Bol Bol
51,1626164,Devin,Booker,Guard,6-5,206,1996-10-30,USA,Kentucky,2015,Devin Booker,Devin Booker
52,1630527,Brandon,Boston Jr.,Guard,6-6,188,2001-11-28,USA,Kentucky,2021,Brandon Boston Jr.,Troy Brown Jr.
53,1628449,Chris,Boucher,Forward-Center,6-9,200,1993-01-11,Saint Lucia,Oregon,2017,Chris Boucher,Chris Boucher
55,1631123,Jamaree,Bouyea,Guard,6-2,180,1999-06-27,USA,San Francisco,2022,Jamaree Bouyea,Jamaree Bouyea
57,1631103,Malaki,Branham,Forward,6-4,180,2003-05-12,USA,Ohio State,2022,Malaki Branham,Malaki Branham
58,1629714,Jarrell,Brantley,Forward,6-5,250,1996-06-07,USA,College of Charleston,2019,Jarrell Brantley,Jared Butler
59,1631128,Christian,Braun,Guard,6-6,220,2001-04-17,USA,Kansas,2022,Christian Braun,Christian Braun
60,1628969,Mikal,Bridges,Guard-Forward,6-6,209,1996-08-30,USA,Villanova,2018,Mikal Bridges,Mikal Bridges
61,1629052,Oshae,Brissett,Forward-Guard,6-7,210,1998-06-20,Canada,Syracuse,2019,Oshae Brissett,Oshae Brissett
62,1627763,Malcolm,Brogdon,Guard,6-4,229,1992-12-11,USA,Virginia,2016,Malcolm Brogdon,Malcolm Brogdon
63,1628415,Dillon,Brooks,Guard-Forward,6-6,225,1996-01-22,Canada,Oregon,2017,Dillon Brooks,Dillon Brooks
64,1628971,Bruce,Brown,Guard-Forward,6-4,202,1996-08-15,USA,Miami,2018,Bruce Brown,Bruce Brown
65,1627759,Jaylen,Brown,Guard-Forward,6-6,223,1996-10-24,USA,California,2016,Jaylen Brown,Jaylen Brown
66,1631112,Kendall,Brown,Guard,6-7,205,2003-05-11,USA,Baylor,2022,Kendall Brown,Kobe Brown
67,1629650,Moses,Brown,Center,7-2,245,1999-10-13,USA,UCLA,2019,Moses Brown,Moses Brown
68,1628425,Sterling,Brown,Guard-Forward,6-5,219,1995-02-10,USA,Southern Methodist,2017,Sterling Brown,Jaylen Brown
69,1630535,Greg,Brown III,Forward,6-7,206,2001-09-01,USA,Texas,2021,Greg Brown III,Bruce Brown
70,1628972,Troy,Brown Jr.,Guard-Forward,6-7,215,1999-07-28,USA,Oregon,2018,Troy Brown Jr.,Troy Brown Jr.
71,1628973,Jalen,Brunson,Guard,6-2,190,1996-08-31,USA,Villanova,2018,Jalen Brunson,Jalen Brunson
72,1628418,Thomas,Bryant,Center-Forward,6-10,248,1997-07-31,USA,Indiana,2017,Thomas Bryant,Thomas Bryant
73,203493,Reggie,Bullock,Guard-Forward,6-6,205,1991-03-16,USA,North Carolina,2013,Reggie Bullock,Reggie Bullock
74,202692,Alec,Burks,Guard,6-6,214,1991-07-20,USA,Colorado,2011,Alec Burks,Alec Burks
75,1629126,Deonte,Burton,Guard-Forward,6-4,240,1994-01-31,USA,Iowa State,2018,Deonte Burton,Dejounte Murray
76,1630215,Jared,Butler,Guard,6-3,193,2000-08-25,USA,Baylor,2021,Jared Butler,Jared Butler
77,202710,Jimmy,Butler,Forward,6-7,230,1989-09-14,USA,Marquette,2011,Jimmy Butler,Jimmy Butler
78,1631219,John,Butler Jr.,Forward,7-0,190,2002-12-04,USA,Florida State,2022,John Butler Jr.,Ron Harper Jr.
79,1631288,Jamal,Cain,Forward,6-6,191,1999-03-20,USA,Oakland,2022,Jamal Cain,Jamal Cain
80,203484,Kentavious,Caldwell-Pope,Guard,6-5,204,1993-02-18,USA,Georgia,2013,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope
83,203991,Clint,Capela,Center,6-10,256,1994-05-18,Switzerland,Elan Chalon,2014,Clint Capela,Clint Capela
84,1630176,Vernon,Carey Jr.,Center,6-10,270,2001-02-25,USA,Duke,2020,Vernon Carey Jr.,Ron Harper Jr.
85,1628975,Jevon,Carter,Guard,6-1,200,1995-09-14,USA,West Virginia,2018,Jevon Carter,Jevon Carter
86,1628976,Wendell,Carter Jr.,Center-Forward,6-10,270,1999-04-16,USA,Duke,2018,Wendell Carter Jr.,Wendell Carter Jr.
87,203487,Michael,Carter-Williams,Guard,6-5,190,1991-10-10,USA,Syracuse,2013,Michael Carter-Williams,Ziaire Williams
88,1627936,Alex,Caruso,Guard,6-5,186,1994-02-28,USA,Texas A&M,2017,Alex Caruso,Alex Caruso
90,1630577,Julian,Champagnie,Forward,6-7,217,2001-06-29,USA,St. John's,2022,Julian Champagnie,Julian Champagnie
91,1630551,Justin,Champagnie,Guard-Forward,6-6,206,2001-06-29,USA,Pittsburgh,2021,Justin Champagnie,Julian Champagnie
93,1631108,Max,Christie,Guard,6-5,190,2003-02-10,USA,Michigan State,2022,Max Christie,Max Christie
94,1630528,Josh,Christopher,Guard,6-4,215,2001-12-08,USA,Arizona State,2021,Josh Christopher,Chris Boucher
95,1629634,Brandon,Clarke,Forward,6-8,215,1996-09-19,Canada,Gonzaga,2019,Brandon Clarke,Brandon Miller
96,203903,Jordan,Clarkson,Guard,6-5,194,1992-06-07,USA,Missouri,2014,Jordan Clarkson,Jordan Clarkson
97,1629651,Nic,Claxton,Center,6-11,215,1999-04-17,USA,Georgia,2019,Nic Claxton,Nic Claxton
98,1629599,Amir,Coffey,Guard-Forward,6-7,210,1997-06-17,USA,Minnesota,2019,Amir Coffey,Amir Coffey
99,1628381,John,Collins,Forward-Center,6-9,226,1997-09-23,USA,Wake Forest,2017,John Collins,John Collins
100,1628380,Zach,Collins,Forward-Center,6-11,250,1997-11-19,USA,Gonzaga,2017,Zach Collins,Zach Collins
102,201144,Mike,Conley,Guard,6-1,175,1987-10-11,USA,Ohio State,2007,Mike Conley,Mike Conley
103,1626192,Pat,Connaughton,Guard,6-5,209,1993-01-06,USA,Notre Dame,2015,Pat Connaughton,Pat Connaughton
105,203496,Robert,Covington,Forward,6-7,209,1990-12-14,USA,Tennessee State,2013,Robert Covington,Robert Covington
106,1628470,Torrey,Craig,Forward,6-7,221,1990-12-19,USA,South Carolina Upstate,2017,Torrey Craig,Torrey Craig
107,203109,Jae,Crowder,Forward,6-6,235,1990-07-06,USA,Marquette,2012,Jae Crowder,Jae Crowder
108,1629633,Jarrett,Culver,Guard-Forward,6-6,195,1999-02-20,USA,Texas Tech,2019,Jarrett Culver,Jarrett Allen
109,1630595,Cade,Cunningham,Guard,6-7,220,2001-09-25,USA,Oklahoma State,2021,Cade Cunningham,Cade Cunningham
110,203552,Seth,Curry,Guard,6-1,185,1990-08-23,USA,Duke,2013,Seth Curry,Seth Curry
111,201939,Stephen,Curry,Guard,6-2,185,1988-03-14,USA,Davidson,2009,Stephen Curry,Stephen Curry
112,1630700,Dyson,Daniels,Guard,6-7,199,2003-03-17,Australia,NBA G League Ignite,2022,Dyson Daniels,Dyson Daniels
113,203076,Anthony,Davis,Forward-Center,6-10,253,1993-03-11,USA,Kentucky,2012,Anthony Davis,Anthony Davis
114,1631098,Johnny,Davis,Guard,6-4,195,2002-02-27,USA,Wisconsin,2022,Johnny Davis,Johnny Davis
115,1629056,Terence,Davis,Guard,6-4,201,1997-05-16,USA,Mississippi,2019,Terence Davis,Terance Mann
116,1631120,JD,Davison,Guard,6-1,195,2002-10-03,USA,Alabama,2022,JD Davison,Johnny Davis
117,1630620,Darius,Days,Forward,6-7,245,1999-10-20,USA,Louisiana State,2022,Darius Days,Darius Garland
118,201942,DeMar,DeRozan,Guard-Forward,6-6,220,1989-08-07,USA,Southern California,2009,DeMar DeRozan,DeMar DeRozan
121,1628978,Donte,DiVincenzo,Guard,6-4,203,1997-01-31,USA,Villanova,2018,Donte DiVincenzo,Donte DiVincenzo
122,1631217,Moussa,Diabate,Forward,6-10,210,2002-01-21,France,Michigan,2022,Moussa Diabate,Moussa Diabaté
126,1631172,Ousmane,Dieng,Forward,6-9,185,2003-05-21,France,New Zealand Breakers,2022,Ousmane Dieng,Ousmane Dieng
127,203915,Spencer,Dinwiddie,Guard,6-5,215,1993-04-06,USA,Colorado,2014,Spencer Dinwiddie,Spencer Dinwiddie
128,1629029,Luka,Doncic,Forward-Guard,6-7,230,1999-02-28,Slovenia,Real Madrid,2018,Luka Doncic,Luka Dončić
129,1628416,Tyler,Dorsey,Guard,6-4,180,1996-02-18,USA,Oregon,2017,Tyler Dorsey,Kyle Lowry
130,1629652,Luguentz,Dort,Guard,6-4,220,1999-04-19,Canada,Arizona State,2019,Luguentz Dort,Luguentz Dort
131,1630245,Ayo,Dosunmu,Guard,6-5,200,2000-01-17,USA,Illinois,2021,Ayo Dosunmu,Ayo Dosunmu
132,1629653,Devon,Dotson,Guard,6-1,185,1999-08-02,USA,Kansas,2020,Devon Dotson,Kevon Looney
135,201609,Goran,Dragic,Guard,6-4,190,1986-05-06,Slovenia,Union Olimpija,2008,Goran Dragic,Gradey Dick
136,203083,Andre,Drummond,Center,6-11,279,1993-08-10,USA,Connecticut,2012,Andre Drummond,Andre Drummond
137,1630537,Chris,Duarte,Guard,6-5,190,1997-06-13,Dominican Republic,Oregon,2021,Chris Duarte,Chris Duarte
139,1627739,Kris,Dunn,Guard,6-3,205,1994-03-18,USA,Providence,2016,Kris Dunn,Kris Dunn
140,201142,Kevin,Durant,Forward,6-10,240,1988-09-29,USA,Texas,2007,Kevin Durant,Kevin Durant
141,1631105,Jalen,Duren,Center,6-11,250,2003-11-18,USA,Memphis,2022,Jalen Duren,Jalen Duren
142,1631106,Tari,Eason,Forward,6-8,215,2001-05-10,USA,Louisiana State,2022,Tari Eason,Tari Eason
143,1630162,Anthony,Edwards,Guard,6-4,225,2001-08-05,USA,Georgia,2020,Anthony Edwards,Anthony Edwards
144,1630556,Kessler,Edwards,Forward,6-7,203,2000-08-09,USA,Pepperdine,2021,Kessler Edwards,Kessler Edwards
145,1631165,Keon,Ellis,Guard,6-3,175,2000-01-08,USA,Alabama,2022,Keon Ellis,Keon Ellis
146,203954,Joel,Embiid,Center-Forward,7-0,280,1994-03-16,Cameroon,Kansas,2014,Joel Embiid,Joel Embiid
147,1629234,Drew,Eubanks,Forward-Center,6-10,245,1997-02-01,USA,Oregon State,2018,Drew Eubanks,Drew Eubanks
148,202324,Derrick,Favors,Forward,6-9,265,1991-07-15,USA,Georgia Tech,2010,Derrick Favors,Derrick Rose
149,1628981,Bruno,Fernando,Forward-Center,6-10,240,1998-08-15,Angola,Maryland,2019,Bruno Fernando,Bruno Fernando
150,1627827,Dorian,Finney-Smith,Forward,6-7,220,1993-05-04,USA,Florida,2016,Dorian Finney-Smith,Dorian Finney-Smith
151,1630201,Malachi,Flynn,Guard,6-1,175,1998-05-09,USA,San Diego State,2020,Malachi Flynn,Malachi Flynn
152,1631323,Simone,Fontecchio,Forward,6-7,209,1995-12-09,Italy,Baskonia,2022,Simone Fontecchio,Simone Fontecchio
153,1627854,Bryn,Forbes,Guard,6-2,205,1993-07-23,USA,Michigan State,2016,Bryn Forbes,Trent Forrest
154,1630235,Trent,Forrest,Guard,6-4,210,1998-06-12,USA,Florida State,2020,Trent Forrest,Trent Forrest
155,1630701,Michael,Foster Jr.,Forward,6-8,250,2003-01-16,USA,NBA G League Ignite,2022,Michael Foster Jr.,Michael Porter Jr.
156,203095,Evan,Fournier,Guard-Forward,6-6,205,1992-10-29,France,Poitiers Basket 86,2012,Evan Fournier,Evan Fournier
157,1628368,De'Aaron,Fox,Guard,6-3,185,1997-12-20,USA,Kentucky,2017,De'Aaron Fox,De'Aaron Fox
158,1628365,Markelle,Fultz,Guard,6-4,209,1998-05-29,USA,Washington,2017,Markelle Fultz,Markelle Fultz
160,1629655,Daniel,Gafford,Forward-Center,6-10,234,1998-10-01,USA,Arkansas,2019,Daniel Gafford,Daniel Gafford
161,1629636,Darius,Garland,Guard,6-1,192,2000-01-26,USA,Vanderbilt,2019,Darius Garland,Darius Garland
163,1630568,Luka,Garza,Center,6-10,243,1998-12-27,USA,Iowa,2021,Luka Garza,Luka Garza
164,200752,Rudy,Gay,Forward-Guard,6-8,250,1986-08-17,USA,Connecticut,2006,Rudy Gay,Rudy Gobert
165,202331,Paul,George,Forward,6-8,220,1990-05-02,USA,Fresno State,2010,Paul George,Paul George
166,201959,Taj,Gibson,Forward,6-9,232,1985-06-24,USA,Southern California,2009,Taj Gibson,Tari Eason
167,1630581,Josh,Giddey,Guard,6-8,216,2002-10-10,Australia,NBA Global Academy,2021,Josh Giddey,Josh Giddey
168,1628983,Shai,Gilgeous-Alexander,Guard,6-6,195,1998-07-12,Canada,Kentucky,2018,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander
169,1630264,Anthony,Gill,Forward,6-8,230,1992-10-17,USA,Virginia,2020,Anthony Gill,Anthony Gill
170,1631367,Jacob,Gilyard,Guard,5-9,160,1998-07-14,USA,Richmond,2022,Jacob Gilyard,Jacob Gilyard
171,203497,Rudy,Gobert,Center,7-1,258,1992-06-26,France,Cholet,2013,Rudy Gobert,Rudy Gobert
172,1630692,Jordan,Goodwin,Guard,6-3,200,1998-10-23,USA,St. Louis,2021,Jordan Goodwin,Jordan Goodwin
173,203932,Aaron,Gordon,Forward,6-8,235,1995-09-16,USA,Arizona,2014,Aaron Gordon,Aaron Gordon
174,201569,Eric,Gordon,Guard,6-3,215,1988-12-25,USA,Indiana,2008,Eric Gordon,Eric Gordon
175,1628984,Devonte',Graham,Guard,6-1,195,1995-02-22,USA,Kansas,2018,Devonte' Graham,Devonte' Graham
176,203924,Jerami,Grant,Forward,6-8,210,1994-03-12,USA,Syracuse,2014,Jerami Grant,Jerami Grant
178,1631260,AJ,Green,Guard,6-5,190,1999-09-27,USA,Northern Iowa,2022,AJ Green,A.J. Green
179,201980,Danny,Green,Guard,6-6,215,1987-06-22,USA,North Carolina,2009,Danny Green,Danny Green
180,203110,Draymond,Green,Forward,6-6,230,1990-03-04,USA,Michigan State,2012,Draymond Green,Draymond Green
181,203210,JaMychal,Green,Forward-Center,6-9,227,1990-06-21,USA,Alabama,2014,JaMychal Green,Jalen Green
182,1630224,Jalen,Green,Guard,6-4,186,2002-02-09,USA,NBA G League Ignite,2021,Jalen Green,Jalen Green
183,1629750,Javonte,Green,Guard,6-5,205,1993-07-23,USA,Radford,2019,Javonte Green,Jalen Green
184,201145,Jeff,Green,Forward,6-8,235,1986-08-28,USA,Georgetown,2007,Jeff Green,Jeff Green
185,1630182,Josh,Green,Guard,6-7,200,2000-11-16,Australia,Arizona,2020,Josh Green,Josh Green
186,1631100,AJ,Griffin,Forward,6-6,220,2003-08-25,USA,Duke,2022,AJ Griffin,AJ Griffin
187,201933,Blake,Griffin,Forward,6-9,250,1989-03-16,USA,Oklahoma,2009,Blake Griffin,AJ Griffin
188,1629656,Quentin,Grimes,Guard,6-5,210,2000-05-08,USA,Houston,2021,Quentin Grimes,Quentin Grimes
189,1629060,Rui,Hachimura,Forward,6-8,230,1998-02-08,Japan,Gonzaga,2019,Rui Hachimura,Rui Hachimura
190,1630169,Tyrese,Haliburton,Guard,6-5,185,2000-02-29,USA,Iowa State,2020,Tyrese Haliburton,Tyrese Haliburton
191,1631160,Jordan,Hall,Guard,6-7,215,2002-01-14,USA,Saint Joseph's,2022,Jordan Hall,Jordan Miller
193,203501,Tim,Hardaway Jr.,Guard-Forward,6-5,205,1992-03-16,USA,Michigan,2013,Tim Hardaway Jr.,Tim Hardaway Jr.
194,201935,James,Harden,Guard,6-5,220,1989-08-26,USA,Arizona State,2009,James Harden,James Harden
195,1630702,Jaden,Hardy,Guard,6-3,198,2002-07-05,USA,NBA G League Ignite,2022,Jaden Hardy,Jaden Hardy
196,1631199,Ron,Harper Jr.,Forward,6-5,245,2000-04-12,USA,Rutgers,2022,Ron Harper Jr.,Ron Harper Jr.
198,203914,Gary,Harris,Guard,6-4,210,1994-09-14,USA,Michigan State,2014,Gary Harris,Gary Harris
199,203925,Joe,Harris,Guard-Forward,6-6,220,1991-09-06,USA,Virginia,2014,Joe Harris,Joe Harris
200,1630284,Kevon,Harris,Guard,6-6,216,1997-06-24,USA,Stephen F. Austin,2022,Kevon Harris,Joe Harris
201,202699,Tobias,Harris,Forward,6-7,226,1992-07-15,USA,Tennessee,2011,Tobias Harris,Tobias Harris
203,1628404,Josh,Hart,Guard,6-4,215,1995-03-06,USA,Villanova,2017,Josh Hart,Josh Hart
204,1628392,Isaiah,Hartenstein,Center-Forward,7-0,250,1998-05-05,Germany,Zalgiris,2017,Isaiah Hartenstein,Isaiah Hartenstein
206,1630573,Sam,Hauser,Forward,6-7,217,1997-12-08,USA,Virginia,2021,Sam Hauser,Sam Hauser
207,1629637,Jaxson,Hayes,Center-Forward,7-0,220,2000-05-23,USA,Texas,2019,Jaxson Hayes,Jaxson Hayes
208,1630165,Killian,Hayes,Guard,6-5,195,2001-07-27,France,Ratiopharm Ulm,2020,Killian Hayes,Killian Hayes
209,202330,Gordon,Hayward,Forward,6-7,225,1990-03-23,USA,Butler,2010,Gordon Hayward,Gordon Hayward
212,1629639,Tyler,Herro,Guard,6-5,195,2000-01-20,USA,Kentucky,2019,Tyler Herro,Tyler Herro
213,1627741,Buddy,Hield,Guard,6-4,220,1992-12-17,Bahamas,Oklahoma,2016,Buddy Hield,Buddy Hield
214,1629312,Haywood,Highsmith,Forward,6-5,220,1996-12-09,USA,Wheeling Jesuit,2018,Haywood Highsmith,Haywood Highsmith
215,201588,George,Hill,Guard,6-4,188,1986-05-04,USA,Indiana-Purdue Indianapolis,2008,George Hill,Georges Niang
216,1630792,Malcolm,Hill,Forward,6-6,220,1995-10-26,USA,Illinois,2021,Malcolm Hill,Malcolm Cazalon
217,1628988,Aaron,Holiday,Guard,6-0,185,1996-09-30,USA,UCLA,2018,Aaron Holiday,Aaron Holiday
218,201950,Jrue,Holiday,Guard,6-5,205,1990-06-12,USA,UCLA,2009,Jrue Holiday,Jrue Holiday
219,203200,Justin,Holiday,Forward-Guard,6-6,180,1989-04-05,USA,Washington,2012,Justin Holiday,Justin Holiday
220,1626158,Richaun,Holmes,Forward,6-8,235,1993-10-15,USA,Bowling Green,2015,Richaun Holmes,Richaun Holmes
221,201143,Al,Horford,Center-Forward,6-9,240,1986-06-03,Dominican Republic,Florida,2007,Al Horford,Al Horford
222,1629659,Talen,Horton-Tucker,Guard,6-4,234,2000-11-25,USA,Iowa State,2019,Talen Horton-Tucker,Talen Horton-Tucker
223,1627863,Danuel,House Jr.,Forward-Guard,6-6,220,1993-06-07,USA,Texas A&M,2016,Danuel House Jr.,Danuel House Jr.
224,1631216,Caleb,Houstan,Guard,6-8,205,2003-01-09,Canada,Michigan,2022,Caleb Houstan,Caleb Houstan
226,1628989,Kevin,Huerter,Guard-Forward,6-7,198,1998-08-27,USA,Maryland,2018,Kevin Huerter,Kevin Huerter
229,1629631,De'Andre,Hunter,Forward-Guard,6-8,221,1997-12-02,USA,Virginia,2019,De'Andre Hunter,De'Andre Hunter
230,1630538,Bones,Hyland,Guard,6-2,169,2000-09-14,USA,Virginia Commonwealth,2021,Bones Hyland,Bones Hyland
232,2738,Andre,Iguodala,Guard-Forward,6-6,215,1984-01-28,USA,Arizona,2004,Andre Iguodala,DeAndre Jordan
233,204060,Joe,Ingles,Forward-Guard,6-9,220,1987-10-02,Australia,Maccabi Tel Aviv,2014,Joe Ingles,Joe Ingles
234,1627742,Brandon,Ingram,Forward,6-8,190,1997-09-02,USA,Duke,2016,Brandon Ingram,Brandon Ingram
235,202681,Kyrie,Irving,Guard,6-2,195,1992-03-23,Australia,Duke,2011,Kyrie Irving,Kyrie Irving
236,1628371,Jonathan,Isaac,Forward,6-10,230,1997-10-03,USA,Florida State,2017,Jonathan Isaac,Jonathan Isaac
237,1631093,Jaden,Ivey,Guard,6-4,195,2002-02-13,USA,Purdue,2022,Jaden Ivey,Jaden Ivey
238,1628402,Frank,Jackson,Guard,6-3,205,1998-05-04,USA,Duke,2017,Frank Jackson,Jaren Jackson Jr.
239,1630543,Isaiah,Jackson,Forward,6-9,205,2002-01-10,USA,Kentucky,2021,Isaiah Jackson,Isaiah Jackson
240,1628382,Justin,Jackson,Forward,6-8,220,1995-03-28,USA,North Carolina,2017,Justin Jackson,Isaiah Jackson
241,1631245,Quenton,Jackson,Guard,6-5,173,1998-09-15,USA,Texas A&M,2022,Quenton Jackson,Peyton Watson
242,202704,Reggie,Jackson,Guard,6-2,208,1990-04-16,USA,Boston College,2011,Reggie Jackson,Reggie Jackson
243,1628991,Jaren,Jackson Jr.,Forward-Center,6-10,242,1999-09-15,USA,Michigan State,2018,Jaren Jackson Jr.,Jaren Jackson Jr.
244,2544,LeBron,James,Forward,6-9,250,1984-12-30,USA,St. Vincent-St. Mary HS (OH),2003,LeBron James,LeBron James
245,1629610,DaQuan,Jeffries,Guard-Forward,6-5,222,1997-08-30,USA,Tulsa,2019,DaQuan Jeffries,DaQuan Jeffries
246,1629660,Ty,Jerome,Guard-Forward,6-5,195,1997-07-08,USA,Virginia,2019,Ty Jerome,Ty Jerome
247,1630198,Isaiah,Joe,Guard,6-3,165,1999-07-02,USA,Arkansas,2020,Isaiah Joe,Isaiah Joe
248,1628993,Alize,Johnson,Forward,6-8,212,1996-04-22,USA,Missouri State,2018,Alize Johnson,Jalen Johnson
249,1629661,Cameron,Johnson,Forward,6-8,210,1996-03-03,USA,North Carolina,2019,Cameron Johnson,Cameron Johnson
250,1630552,Jalen,Johnson,Forward,6-8,219,2001-12-18,USA,Duke,2021,Jalen Johnson,Jalen Johnson
251,201949,James,Johnson,Forward,6-7,240,1987-02-20,USA,Wake Forest,2009,James Johnson,Jalen Johnson
252,1629640,Keldon,Johnson,Forward-Guard,6-5,220,1999-10-11,USA,Kentucky,2019,Keldon Johnson,Keldon Johnson
253,1630553,Keon,Johnson,Guard,6-3,185,2002-03-10,USA,Tennessee,2021,Keon Johnson,Keldon Johnson
254,1626169,Stanley,Johnson,Forward-Guard,6-6,242,1996-05-29,USA,Arizona,2015,Stanley Johnson,Jalen Johnson
